customer_id,recency,frequency,monetary,R_score,F_score,M_score,segment
12346,325,12,77556.46,2,5,5,At Risk
12347,1,8,4921.53,5,4,5,Champions
12348,74,5,1658.4,3,4,4,Big Spenders
12349,18,3,3678.69,5,3,5,Big Spenders
12350,309,1,294.4,2,1,2,Lost
12351,374,1,300.93,2,1,2,Lost
12352,35,9,1729.54,4,5,4,Champions
12353,203,2,406.76,2,2,2,At Risk
12354,231,1,1079.4,2,1,3,Lost
12355,213,2,947.61,2,2,3,At Risk
12356,22,6,5611.73,4,4,5,Champions
12357,32,2,17437.66,4,2,5,Big Spenders
12358,1,5,3447.07,5,4,5,Champions
12359,57,10,8873.39,4,5,5,Champions
12360,51,6,3612.89,4,4,5,Champions
12361,286,4,451.25,2,3,2,At Risk
12362,2,10,4737.23,5,5,5,Champions
12363,109,2,552.0,3,2,2,Potential Loyalists
12364,7,4,1208.1,5,3,4,Big Spenders
12365,290,1,320.69,2,1,2,Lost
12366,633,1,500.24,1,1,2,Lost
12367,3,1,150.9,5,1,1,Potential Loyalists
12368,627,1,917.7,1,1,3,Lost
12369,412,3,1511.15,1,3,4,At Risk
12370,50,7,3956.56,4,4,5,Champions
12371,59,4,3347.38,3,3,5,Big Spenders
12372,71,3,1196.04,3,3,3,Loyal Customers
12373,310,3,927.65,2,3,3,At Risk
12374,24,3,2669.22,4,3,4,Big Spenders
12375,10,2,377.5,5,2,2,Potential Loyalists
12376,389,2,383.15,2,2,2,At Risk
12377,314,4,3266.32,2,3,5,At Risk
12378,129,2,5416.32,3,2,5,Big Spenders
12379,81,4,1470.22,3,3,4,Big Spenders
12380,21,8,7210.65,4,4,5,Champions
12381,4,3,1474.81,5,3,4,Big Spenders
12383,184,5,1628.56,3,4,4,Big Spenders
12384,28,2,425.27,4,2,2,Potential Loyalists
12385,378,1,1668.4,2,1,4,Big Spenders
12386,337,2,401.9,2,2,2,At Risk
12387,414,1,143.94,1,1,1,Lost
12388,15,8,3901.11,5,4,5,Champions
12389,402,3,1433.33,2,3,4,At Risk
12390,79,1,504.84,3,1,2,Potential Loyalists
12391,21,6,2724.84,4,4,4,Champions
12392,590,1,234.75,1,1,1,Lost
12393,71,6,2399.45,3,4,4,Big Spenders
12394,63,2,1080.48,3,2,3,Potential Loyalists
12395,18,15,4241.17,5,5,5,Champions
12396,673,1,931.43,1,1,3,Lost
12397,35,2,2214.9,4,2,4,Big Spenders
12398,45,1,1435.66,4,1,4,Big Spenders
12399,118,7,1842.3,3,4,4,Big Spenders
12400,413,1,205.25,1,1,1,Lost
12401,302,1,69.3,2,1,1,Lost
12402,322,6,1136.9,2,4,3,At Risk
12403,49,2,947.36,4,2,3,Potential Loyalists
12404,681,1,63.24,1,1,1,Lost
12405,148,1,1390.39,3,1,4,Big Spenders
12406,21,5,6390.36,4,4,5,Champions
12407,49,5,1507.12,4,4,4,Champions
12408,32,8,3905.77,4,4,5,Champions
12409,78,7,23419.29,3,4,5,Big Spenders
12410,308,3,773.71,2,3,3,At Risk
12411,409,1,346.9,1,1,2,Lost
12412,74,6,2404.93,3,4,4,Big Spenders
12413,66,4,871.45,3,3,3,Loyal Customers
12414,216,4,532.41,2,3,2,At Risk
12415,23,24,144033.37,4,5,5,Champions
12416,656,1,202.56,1,1,1,Lost
12417,2,20,5998.41,5,5,5,Champions
12418,112,4,2021.2,3,3,4,Big Spenders
12419,385,2,391.01,2,2,2,At Risk
12420,63,1,600.39,3,1,2,Potential Loyalists
12421,15,6,874.6,5,4,3,Champions
12422,95,12,3639.35,3,5,5,Big Spenders
12423,0,10,2301.39,5,5,4,Champions
12424,162,4,3340.03,3,3,5,Big Spenders
12425,77,2,1741.41,3,2,4,Big Spenders
12426,194,2,1201.21,2,2,4,At Risk
12427,21,3,699.8,4,3,3,Loyal Customers
12428,25,8,6405.26,4,4,5,Champions
12429,8,8,5842.41,5,4,5,Champions
12430,42,1,216.4,4,1,1,Potential Loyalists
12431,35,25,10102.22,4,5,5,Champions
12432,42,4,4359.32,4,3,5,Big Spenders
12433,0,10,16794.14,5,5,5,Champions
12434,84,3,1103.43,3,3,3,Loyal Customers
12435,79,6,13925.93,3,4,5,Big Spenders
12436,99,1,429.01,3,1,2,Potential Loyalists
12437,1,38,11282.4,5,5,5,Champions
12438,13,2,2466.85,5,2,4,Big Spenders
12439,682,2,1142.88,1,2,3,At Risk
12440,461,2,739.2,1,2,3,At Risk
12441,366,1,155.55,2,1,1,Lost
12442,2,1,144.06,5,1,1,Potential Loyalists
12443,731,1,365.31,1,1,2,Lost
12444,20,5,4085.46,4,4,5,Champions
12445,21,2,378.98,4,2,2,Potential Loyalists
12446,57,1,1002.31,4,1,3,Potential Loyalists
12447,242,1,431.49,2,1,2,Lost
12448,43,1,365.45,4,1,2,Potential Loyalists
12449,21,5,4274.89,4,4,5,Champions
12450,155,5,688.2,3,4,3,Loyal Customers
12451,10,8,12629.88,5,4,5,Champions
12452,16,1,348.57,5,1,2,Potential Loyalists
12453,133,1,707.09,3,1,3,Potential Loyalists
12454,55,4,16459.78,4,3,5,Big Spenders
12455,72,9,5722.95,3,5,5,Big Spenders
12456,43,3,2581.04,4,3,4,Big Spenders
12457,65,7,2555.91,3,4,4,Big Spenders
12458,70,4,1502.49,3,3,4,Big Spenders
12459,604,1,398.36,1,1,2,Lost
12460,455,1,296.65,1,1,2,Lost
12461,154,1,626.88,3,1,3,Potential Loyalists
12462,18,2,937.59,5,2,3,Potential Loyalists
12463,52,4,1200.78,4,3,3,Loyal Customers
12464,9,8,957.05,5,4,3,Champions
12465,16,2,682.19,5,2,3,Potential Loyalists
12466,681,1,56.73,1,1,1,Lost
12467,422,1,132.8,1,1,1,Lost
12468,187,5,3238.74,3,4,5,Big Spenders
12469,522,2,3070.54,1,2,5,At Risk
12470,689,1,211.95,1,1,1,Lost
12471,1,72,35140.99,5,5,5,Champions
12472,31,19,14971.29,4,5,5,Champions
12473,53,3,2585.73,4,3,4,Big Spenders
12474,16,29,11310.75,5,5,5,Champions
12475,53,2,1065.64,4,2,3,Potential Loyalists
12476,15,18,12319.91,5,5,5,Champions
12477,22,9,20276.37,4,5,5,Champions
12478,3,1,545.99,5,1,2,Potential Loyalists
12479,10,1,473.2,5,1,2,Potential Loyalists
12480,27,7,4834.85,4,4,5,Champions
12481,22,14,11033.51,4,5,5,Champions
12482,575,27,21941.72,1,5,5,At Risk
12483,16,19,4069.18,5,5,5,Champions
12484,34,9,5557.1,4,5,5,Champions
12485,528,1,708.1,1,1,3,Lost
12486,431,1,917.28,1,1,3,Lost
12487,730,1,285.3,1,1,2,Lost
12488,9,3,1244.66,5,3,4,Big Spenders
12489,335,1,298.93,2,1,2,Lost
12490,4,20,8764.64,5,5,5,Champions
12491,38,1,424.4,4,1,2,Potential Loyalists
12492,62,3,607.21,3,3,3,Loyal Customers
12493,165,2,379.74,3,2,2,Potential Loyalists
12494,15,9,1563.27,5,5,4,Champions
12495,640,1,277.4,1,1,1,Lost
12496,619,2,45.34,1,2,1,At Risk
12497,81,3,5996.5,3,3,5,Big Spenders
12498,20,3,349.7,4,3,2,Loyal Customers
12499,559,1,357.72,1,1,2,Lost
12500,22,18,5559.21,4,5,5,Champions
12501,336,1,2025.39,2,1,4,Big Spenders
12502,95,5,2995.87,3,4,5,Big Spenders
